;Masked_sentence;Right_answer;Wrong_answer;variants
148945; Overall, it can be seen that average temperatures in Russia tend to increase and fall dramatically over the year, while in Brazil they are almost consistent . To provide more detail, in Yakutsk the lowest records are [MASK] in winter and dip to -40°C. The graph reaches a peak in July (just over 20°C) and then decreases sharply. In Rio de Janeiro, by contrast, the average maximum temperatures are in winter (30°C).;registered;noticeable;['considered', 'chartered', 'certified', 'recognised', 'listed', 'designated', 'domiciled', 'enrolled', 'accredited', 'allocated', 'approved', 'logged', 'counted', 'established', 'audited', 'verified', 'identified', 'affiliated', 'classified', 'classed']
152775; Laws and provided punishments should be used by officials against producers of pirate files. in spite of financial losses of official producers of media content, the government can [MASK] restrictions only on products of pirate information and not on users. In addition, the government may be able to find punishments and methods of pirate's identification in the future.;impose;do;['make', 'incur', 'justify', 'dictate']
66435; That is why we import some food from other countries. But in Russia the situation is [MASK]. We import almost every product.;different;else;['various', 'distinctive', 'opposite', 'distinct', 'particular', 'varying', 'diverse', 'separate', 'disparate', 'myriad', 'certain', 'multiple', 'specific', 'similar', 'dissimilar', 'divergent', 'unique', 'heterogeneous']
134088; In contrast, minimum temperatures in Brazil can drop from 25 degrees in January to approximately 15 degrees in July and then rise to about 20 degrees in December. Speaking about Yakutsk, Russia, it can be noticed from the second graph that maximum temperatures show a steady upward trend increasing from [MASK] minus 40 degrees in January to approximately plus 30 degrees in July, with a following dramatic decrease to about minus 40 degrees in December. Similarly, minimum temperatures rise from minus 40 degrees in January to plus 10 in July, demonstrating a five-time increase, and then fall back to minus 40 degrees in December.;nearly;namely;['around', 'namely', 'almost', 'approximately', 'virtually', 'roughly', 'practically', 'upwards', 'barely', 'more', 'about', 'least', 'exactly', 'less', 'essentially', 'just', 'completely', 'totally', 'mostly', 'many']
77717; Let us consider it. Let us start with the point of view that governments should ignore this situation and the [MASK] of flights should remain steady. There are a lot of advantages.;number;amount;['amount', 'quantity', 'level', 'part', 'value', 'count', 'rate', 'portion', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad']
65130; On the one hand, I'm totally agree with the scientists, because human takes his treats of character from the structure of DNA code which he is given by his mother and father. On the other hand, if you want to change yourself, you will make it real by changing all around [MASK]: friends, interests, habitation, work and some time it will change you. But for me, it is more interesting to find the true characteristics of people, because there are so many beautiful variations of it.;you;yourself;"['him', 'we', 'us', 'me', 'thee', 'ya', ""'em"", 'dey', 'her', 'ah', 'u', 'em', 'um']"
120146; People say that increasing the number of sports facilities would have little effect on public health and that other measures are required. They say that sport is not so important and it can't affect the public health, but this is not [MASK]. For hundreds of years people do sports.;true;truth;['truth', 'accurate', 'genuine', 'greatness', 'truly', 'truthful', 'identity', 'essence', 'ultimate', 'believable', 'pure', 'real', 'love', 'uniqueness', 'innocence', 'knowing', 'sincerity']
104386;Nowadays there is one of the most popular and serious topics - global warming and chemical pollution of our planet. Every year the [MASK] of such problems is being increased. That's because the governments suggest various solutions, for example, to minimize the number of business and leisure air travels.;number;amount;['amount', 'quantity', 'level', 'value', 'rate', 'portion', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad']
82379; The differences between two columns are 0,7%. The last two [MASK] show us the case of South Asia. Two columns are completely equal.;columns;graphs;['arches', 'pillars', 'piers', 'spandrels', 'friezes', 'pinnacles', 'parapets', 'rows', 'windows', 'beams', 'doorways', 'facades', 'alcoves', 'skylights']
153675; So, the national population usually becomes poor and unemployed. In conclusion, I want to add that this burning question is very hard and has to be researched more, but in this case there are more disadvantages because people and businesses of a country should be more competitive and developed, but MNCs [MASK] this opportunity away.;take;move;['get', 'go', 'taking', 'relinquish', 'bring', 'send', 'entrust', 'deliver']
138436;7 minutes). Just in one case women's group of age had more time [MASK] sport than men, it is the 55-64 age group and the difference is bigger by 2.7 minutes than men in its group had.;doing;of goind;['making', 'for', 'getting', 'pursuing', 'accomplishing', 'happening', 'performing', 'going', 'enjoying', 'seeing', 'undertaking', 'indulging', 'engaging', 'watching', 'trying', 'hurting', 'talking', 'practicing', 'fooling', 'putting']
73447; The decreasing unemployment in Latin America is a good example for developing countries. To conclude, according to this chart, the problem of unemployment all over the world is not really [MASK] because the main trend is positive.;acute;sharp;['sharp', 'symptomatic', 'febrile', 'eosinophilic', 'pulmonary', 'myeloid', 'ocular', 'incurable', 'palliative', 'diabetic']
160682; Low discipline in schools tends to result in poor behaviour. The pupils who are not controlled properly might imagine that they are allowed to do inappropriate things(such as bullying other classmates) and never set punished for them That is why it is my strong opinion that behaviour problems should be solved first of all by [MASK] discipline. Another reason for the problem is misunderstanding in many families which can lead to disastrous consequences.;improving;repairing;['repairing', 'enhancing', 'boosting', 'optimizing', 'bettering', 'alleviating', 'furthering', 'modernizing', 'fostering', 'facilitating', 'ensuring', 'expanding', 'maximizing', 'developing', 'lowering', 'promoting']
93083; The increase of these health problems we are witnessing today could be caused by a number of reasons. First of all, sometimes we spend too much time sitting with our iPhones or laptops which leads to pour [MASK]. Secondly, modern people buy more vehicles, move and walk less and finally put on weight, which consequently leads to some heart problems.;eyesight;seeing;['sight', 'temper', 'complexion', 'eye', 'asthma', 'affliction', 'paralysis', 'illness', 'arthritis', 'alcoholism', 'glaucoma', 'ailment', 'composure']
42611;Nowadays many people talk about food production. Some people think that it's better to only produce a country's own [MASK] and make import account for the least part of food in the country. Let's consider some pros and cons of it.;food;meal;['meal', 'goal', 'seafood', 'nutrition', 'beverage', 'vegetable', 'gourmet', 'poultry', 'rice', 'coffee', 'eating', 'cooking', 'sustenance']
