;idx;Masked_sentence;Right_answer;Wrong_answer;CatBoostFeatDrop Too good;CatBoostFeatDrop Too bad;CatBoostFeatDrop Appropriate;CatBoostVecsOnly Too good;CatBoostVecsOnly Too bad;CatBoostVecsOnly Appropriate;RandomForestFreqsOnly Too good;RandomForestFreqsOnly Too bad;RandomForestFreqsOnly Appropriate;XGBAllFeats Too good;XGBAllFeats Too bad;XGBAllFeats Appropriate
66;134088; In contrast, minimum temperatures in Brazil can drop from 25 degrees in January to approximately 15 degrees in July and then rise to about 20 degrees in December. Speaking about Yakutsk, Russia, it can be noticed from the second graph that maximum temperatures show a steady upward trend increasing from [MASK] minus 40 degrees in January to approximately plus 30 degrees in July, with a following dramatic decrease to about minus 40 degrees in December. Similarly, minimum temperatures rise from minus 40 degrees in January to plus 10 in July, demonstrating a five-time increase, and then fall back to minus 40 degrees in December.;nearly;namely;['almost', 'around'];[];['namely', 'virtually'];['roughly', 'almost'];[];['namely', 'virtually'];['almost', 'around'];[];['namely', 'virtually'];['almost', 'around'];[];['namely', 'virtually']
67;77717; Let us consider it. Let us start with the point of view that governments should ignore this situation and the [MASK] of flights should remain steady. There are a lot of advantages.;number;amount;[];['part'];['quantity', 'level', 'amount'];[];['value'];['quantity', 'count', 'amount'];[];['part'];['quantity', 'level', 'amount'];[];['part'];['quantity', 'level', 'amount']
68;120146; People say that increasing the number of sports facilities would have little effect on public health and that other measures are required. They say that sport is not so important and it can't affect the public health, but this is not [MASK]. For hundreds of years people do sports.;true;truth;[];['false'];['accurate', 'truth', 'genuine'];[];['greatness'];['accurate', 'truth', 'genuine'];[];['false'];['accurate', 'truth', 'genuine'];[];['greatness'];['accurate', 'truth', 'genuine']
69;104386;Nowadays there is one of the most popular and serious topics - global warming and chemical pollution of our planet. Every year the [MASK] of such problems is being increased. That's because the governments suggest various solutions, for example, to minimize the number of business and leisure air travels.;number;amount;[];['value', 'level'];['quantity', 'amount'];[];['value'];['quantity', 'amount', 'multitude'];[];['level', 'part'];['quantity', 'amount'];[];['value', 'level'];['quantity', 'amount']
70;82379; The differences between two columns are 0,7%. The last two [MASK] show us the case of South Asia. Two columns are completely equal.;columns;graphs;[];['pillars', 'piers', 'arches', 'friezes'];[];[];['rows', 'beams'];[];[];['pillars', 'piers', 'arches', 'spandrels'];[];[];['pillars', 'piers', 'arches', 'spandrels'];[]
71;153675; So, the national population usually becomes poor and unemployed. In conclusion, I want to add that this burning question is very hard and has to be researched more, but in this case there are more disadvantages because people and businesses of a country should be more competitive and developed, but MNCs [MASK] this opportunity away.;take;move;[];['make', 'go'];['get', 'move'];[];['make', 'taking'];['get', 'bring'];[];['make', 'give', 'drink'];['get'];[];['make', 'taking', 'go'];['get']
72;138436;7 minutes). Just in one case women's group of age had more time [MASK] sport than men, it is the 55-64 age group and the difference is bigger by 2.7 minutes than men in its group had.;doing;of goind;[];['for'];['pursuing', 'making', 'getting'];[];['for'];['pursuing', 'making', 'getting'];[];['for'];['making', 'getting', 'going'];[];['for'];['pursuing', 'making', 'getting']
73;73447; The decreasing unemployment in Latin America is a good example for developing countries. To conclude, according to this chart, the problem of unemployment all over the world is not really [MASK] because the main trend is positive.;acute;sharp;[];['febrile', 'chronic', 'symptomatic'];['sharp'];[];['febrile', 'chronic', 'symptomatic'];['sharp'];[];['respiratory', 'febrile', 'chronic', 'symptomatic'];[];[];['febrile', 'chronic', 'symptomatic'];['sharp']
74;160682; Low discipline in schools tends to result in poor behaviour. The pupils who are not controlled properly might imagine that they are allowed to do inappropriate things(such as bullying other classmates) and never set punished for them That is why it is my strong opinion that behaviour problems should be solved first of all by [MASK] discipline. Another reason for the problem is misunderstanding in many families which can lead to disastrous consequences.;improving;repairing;[];['reducing'];['repairing', 'enhancing', 'strengthening'];[];['reducing'];['repairing', 'enhancing', 'strengthening'];[];['reducing'];['repairing', 'enhancing', 'strengthening'];['maintaining'];[];['repairing', 'enhancing', 'boosting']
75;42611;Nowadays many people talk about food production. Some people think that it's better to only produce a country's own [MASK] and make import account for the least part of food in the country. Let's consider some pros and cons of it.;food;meal;[];['goal', 'seafood'];['nutrition', 'meal'];[];['gourmet', 'beverage', 'goal', 'seafood'];[];[];['meat', 'goal', 'seafood'];['meal'];[];['beverage', 'goal', 'seafood'];['nutrition']
